Date;BZ=F;EEM;EXI;GC=F;HYG;IEV;IVV;IXG;IXN;IYR;TLT
2008-01-24;2.8284424735126823;1.942209218503721;4.572685413450084;2.606232294617561;1.2541186868010978;2.9789847465824915;0.8652625420724869;2.952546736061068;1.4346543799265143;-1.954529764379398;-2.0043609181868094
2008-01-25;2.054565888991511;-1.5212082606916755;-0.3990901007356551;0.5521811154058698;0.15227127354993097;-2.0124096014626947;-1.4864860053812046;-2.171026921096142;-0.47146198589068655;-1.390832102245343;1.6850093305659897
2008-01-28;0.5280480962394973;2.47448989352137;1.3588590658137667;1.8231713987850062;-0.4561750525404862;1.5699076809374324;1.756663672400638;2.150689602121325;-0.5964975299806552;3.7141574389605525;-0.37515639383054467
2008-01-29;0.6784884714568395;-0.490261051244012;-0.017170661971643852;-0.21572646453106303;0.10182745023410433;0.7679654957707616;0.5311654712625735;0.21456533913397635;-0.30003848715519643;-0.6044183418093985;-0.6800286539806688
2008-01-30;0.5760856296705086;-1.316250057384194;-0.05157199507643817;-0.4864339118752947;0.3865693525436864;-0.34728100342070745;-0.49902249645492613;-0.41484021177313757;-0.23012692058489437;-2.3411288901737493;-0.6530344286209688
2008-01-31;-0.3458334583873568;2.0044835572521347;-0.03443319639966358;0.22811608481276835;0.20267358903229837;0.9487074600005974;1.4381745881461905;1.1018730097350549;2.0226890467178293;2.3816911856044287;0.7103181715002682
2008-02-01;-3.0040089692754846;1.9942657637504801;3.647617167600714;-1.5172862051354152;0.05502877094065717;1.3808974700352916;1.5704846624478463;1.5151446551131764;1.8435142999077447;3.8923520821069646;0.6010626942908326
2008-02-04;1.0733442064713383;0.3079770936326387;-0.7303898601931147;-0.41817846835277006;0.020306998064012483;-0.8134969254922297;-1.0021562670842088;-1.4794549253631994;-1.588140610939781;-1.5512990310270314;-1.029053101009636
2008-02-05;-1.747789606621164;-5.383782954345384;-3.9464969329972455;-2.099679465950144;-0.8037010352983653;-5.006650004001434;-3.10198872727967;-4.598019635213813;-3.1927585881476372;-3.16633695873485;0.7639122867682202
2008-02-06;-1.1709084880665133;-1.637606488363652;-0.3656006703211423;1.6706160272156545;-0.20517816095014796;0.5521421340463739;-0.7686152382511802;-1.1561516075039413;-1.2547266116471611;-1.9189419955375264;-0.3053155606625668
2008-02-07;0.8316283516579093;1.6955892986261656;0.8212842258097375;0.5995296220407953;-0.42136581346657875;-1.0882690390655925;0.7520181767705303;0.09866609505153612;-1.1980618536712395;2.410394280739192;-2.154658038246815
2008-02-08;3.875268582523006;-0.18863276175526966;-1.4384732073178919;1.357471488747275;-0.7533654544403356;-0.3532752815864626;-0.44782358218143914;-1.0981351472598488;1.4146846637146826;-3.102525212515106;1.1442344768756163
2008-02-11;1.729384702707537;1.2395862223076648;1.0901849080666715;0.48998256537189366;-0.7904355891890757;0.09112429265620836;0.5922922972901423;-1.0676009213850035;1.503642809400474;-2.0031908672222376;0.41614710242250386
